Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3
818;1;VASCO DA GAMA/RJ;FLAMENGO/RJ;Sábado;0;1;0;0,178861789;0,284552846;0,536585366;0,536585366;0,284552846;0,178861789;0;1;0
818;2;SANTOS/SP;SAO PAULO/SP;Domingo;0;1;0;0,392156863;0,31372549;0,294117647;0,392156863;0,31372549;0,294117647;0;1;0
818;3;CRUZEIRO/MG;ATLETICO/MG;Domingo;0;1;0;0,334298119;0,283646889;0,382054993;0,382054993;0,334298119;0,283646889;0;0;1
818;4;CRICIUMA/SC;AVAI/SC;Sábado;1;0;0;0,324459235;0,313643927;0,361896839;0,361896839;0,324459235;0,313643927;0;1;0
818;5;GOIAS/GO;ATLETICO/GO;Sábado;1;0;0;0,465393795;0,286396181;0,248210024;0,465393795;0,286396181;0,248210024;1;0;0
818;6;BOA ESPORTE/MG;PAYSANDU/PA;Sábado;0;1;0;0,416047548;0,334323923;0,249628529;0,416047548;0,334323923;0,249628529;0;1;0
818;7;BRASIL/RS;CRB/AL;Sábado;1;0;0;0,405904059;0,311193112;0,282902829;0,405904059;0,311193112;0,282902829;1;0;0
818;8;OESTE/SP;PONTE PRETA/SP;Sábado;0;1;0;0,336065574;0,327868852;0,336065574;0,336065574;0,336065574;0,327868852;0;0;1
818;9;CEARA/CE;VITORIA/BA;Sábado;1;0;0;0,494214121;0,288925179;0,2168607;0,494214121;0,288925179;0,2168607;1;0;0
818;10;BOTAFOGO/RJ;AMERICA/MG;Domingo;1;0;0;0,551808706;0,260576334;0,18761496;0,551808706;0,260576334;0,18761496;1;0;0
818;11;BAHIA/BA;PALMEIRAS/SP;Domingo;0;1;0;0,3125;0,3125;0,375;0,375;0,3125;0,3125;0;1;0
818;12;CORINTHIANS/SP;SPORT/PE;Domingo;1;0;0;0,568086884;0,275689223;0,156223893;0,568086884;0,275689223;0,156223893;1;0;0
818;13;GREMIO/RS;PARANA/PR;Sábado;1;0;0;0,651526433;0,223380491;0,125093075;0,651526433;0,223380491;0,125093075;1;0;0
818;14;ATHLETICO/PR;FLUMINENSE/RJ;Domingo;1;0;0;0,515514775;0,285876375;0,19860885;0,515514775;0,285876375;0,19860885;1;0;0
819;1;CRUZEIRO/MG;SANTOS/SP;Domingo;1;0;0;0,378818737;0,305498982;0,315682281;0,378818737;0,315682281;0,305498982;1;0;0
819;2;ATHLETICO/PR;PARANA/PR;Domingo;1;0;0;0,56265071;0,259444494;0,177904796;0,56265071;0,259444494;0,177904796;1;0;0
819;3;FLAMENGO/RJ;ATLETICO/MG;Domingo;1;0;0;0,52238806;0,268656716;0,208955224;0,52238806;0,268656716;0,208955224;1;0;0
819;4;CORINTHIANS/SP;INTERNACIONAL/RS;Domingo;0;1;0;0,371287129;0,314356436;0,314356436;0,371287129;0,314356436;0,314356436;0;1;0
819;5;SAO PAULO/SP;AMERICA/MG;Sábado;0;1;0;0,649350649;0,233766234;0,116883117;0,649350649;0,233766234;0,116883117;0;1;0
819;6;BRASIL/RS;OESTE/SP;Sábado;0;0;1;0,446943483;0,302768166;0,250288351;0,446943483;0,302768166;0,250288351;0;0;1
819;7;PAYSANDU/PA;CRICIUMA/SC;Sábado;0;1;0;0,466918715;0,287334594;0,245746692;0,466918715;0,287334594;0,245746692;0;1;0
819;8;GUARANI/SP;CSA/AL;Sábado;1;0;0;0,538606403;0,290018832;0,171374765;0,538606403;0,290018832;0,171374765;1;0;0
819;9;AVAI/SC;SAMPAIO CORREA/MA;Sábado;1;0;0;0,608431117;0,258583225;0,132985658;0,608431117;0,258583225;0,132985658;1;0;0
819;10;GREMIO/RS;CEARA/CE;Domingo;1;0;0;0,692840647;0,230369515;0,076789838;0,692840647;0,230369515;0,076789838;1;0;0
819;11;SPORT/PE;PALMEIRAS/SP;Domingo;0;0;1;0,260177269;0,302141344;0,437681387;0,437681387;0,302141344;0,260177269;1;0;0
819;12;VITORIA/BA;BOTAFOGO/RJ;Domingo;0;0;1;0,450928382;0,278514589;0,270557029;0,450928382;0,278514589;0,270557029;0;0;1
819;13;CHAPECOENSE/SC;FLUMINENSE/RJ;Segunda-feira;0;0;1;0,485502549;0,295853116;0,218644335;0,485502549;0,295853116;0,218644335;0;0;1
819;14;VASCO DA GAMA/RJ;BAHIA/BA;Segunda-feira;1;0;0;0,461240887;0,303526261;0,235232852;0,461240887;0,303526261;0,235232852;1;0;0
820;1;PALMEIRAS/SP;CRUZEIRO/MG;Domingo;1;0;0;0,596072038;0,259953639;0,143974323;0,596072038;0,259953639;0,143974323;1;0;0
820;2;ATLETICO/MG;SPORT/PE;Domingo;1;0;0;0,707714084;0,198159943;0,094125973;0,707714084;0,198159943;0,094125973;1;0;0
820;3;BOTAFOGO/RJ;SAO PAULO/SP;Domingo;0;1;0;0,321709026;0,310985392;0,367305581;0,367305581;0,321709026;0,310985392;0;0;1
820;4;CRB/AL;CSA/AL;Sábado;0;1;0;0,360673592;0,31258378;0,326742627;0,360673592;0,326742627;0,31258378;0;0;1
820;5;CORITIBA/PR;AVAI/SC;Sábado;1;0;0;0,378818737;0,315682281;0,305498982;0,378818737;0,315682281;0,305498982;1;0;0
820;6;FIGUEIRENSE/SC;ATLETICO/GO;Sábado;0;1;0;0,417461114;0,293527346;0,28901154;0,417461114;0,293527346;0,28901154;0;1;0
820;7;OESTE/SP;SAMPAIO CORREA/MA;Sábado;0;1;0;0,470588235;0,294117647;0,235294118;0,470588235;0,294117647;0,235294118;0;1;0
820;8;BOA ESPORTE/MG;CRICIUMA/SC;Sábado;0;0;1;0,437828371;0,312317572;0,249854057;0,437828371;0,312317572;0,249854057;0;0;1
820;9;FLUMINENSE/RJ;GREMIO/RS;Sábado;0;0;1;0,375;0,3125;0,3125;0,375;0,3125;0,3125;0;1;0
820;10;AMERICA/MG;CORINTHIANS/SP;Sábado;0;1;0;0,417910448;0,313432836;0,268656716;0,417910448;0,313432836;0,268656716;0;1;0
820;11;BAHIA/BA;FLAMENGO/RJ;Sábado;0;1;0;0,324459235;0,313643927;0,361896839;0,361896839;0,324459235;0,313643927;0;0;1
820;12;INTERNACIONAL/RS;VITORIA/BA;Domingo;1;0;0;0,689613434;0,216599139;0,093787427;0,689613434;0,216599139;0,093787427;1;0;0
820;13;SANTOS/SP;ATHLETICO/PR;Domingo;1;0;0;0,481137233;0,284308365;0,234554401;0,481137233;0,284308365;0,234554401;1;0;0
820;14;CEARA/CE;CHAPECOENSE/SC;Domingo;1;0;0;0,471397538;0,304127444;0,224475018;0,471397538;0,304127444;0,224475018;1;0;0
821;1;CORINTHIANS/SP;FLAMENGO/RJ;Sexta-feira;0;0;1;0,336658354;0,314214464;0,349127182;0,349127182;0,336658354;0,314214464;1;0;0
