Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3
1237;1;PALMEIRAS/SP;MIRASSOL/SP;Domingo;0;0;0;0,587832283;0,241161962;0,171005755;0,587832283;0,241161962;0,171005755;0;0;0
1237;2;GAMA/DF;CEILANDIA ESPORTE/DF;Sábado;0;0;0;0,534211094;0,268724369;0,197064537;0,534211094;0,268724369;0,197064537;0;0;0
1237;3;SERGIPE/SE;CONFIANCA/SE;Sábado;0;0;0;0,339821536;0,296777475;0,363400989;0,363400989;0,339821536;0,296777475;0;0;0
1237;4;VITORIA/BA;ATLETICO/MG;Domingo;0;0;0;0,41025641;0,294871795;0,294871795;0,41025641;0,294871795;0,294871795;0;0;0
1237;5;WEST HAM/ING;MANCHESTER CITY/ING;Domingo;0;0;0;0,218435464;0,225196561;0,556367975;0,556367975;0,225196561;0,218435464;0;0;0
1237;6;BOTAFOGO/RJ;FLAMENGO/RJ;Domingo;0;0;0;0,230150215;0,285944206;0,483905579;0,483905579;0,285944206;0,230150215;0;0;0
1237;7;FLUMINENSE/RJ;ATHLETICO/PR;Domingo;0;0;0;0,536277603;0,276025237;0,187697161;0,536277603;0,276025237;0,187697161;0;0;0
1237;8;INTERNACIONAL/RS;BAHIA/BA;Domingo;0;0;0;0,485194435;0,278273279;0,236532287;0,485194435;0,278273279;0,236532287;0;0;0
1237;9;SANTOS/SP;CORINTHIANS/SP;Domingo;0;0;0;0,412573674;0,316306483;0,271119843;0,412573674;0,316306483;0,271119843;0;0;0
1237;10;GOIAS/GO;ATLETICO/GO;Domingo;0;0;0;0,460681115;0,289783282;0,249535604;0,460681115;0,289783282;0,249535604;0;0;0
1237;11;LIVERPOOL/ING;TOTTENHAM/ING;Domingo;0;0;0;0,729660708;0,151769427;0,118569865;0,729660708;0,151769427;0,118569865;0;0;0
1237;12;CORITIBA/PR;REMO/PA;Domingo;0;0;0;0,545404547;0,275910535;0,178684918;0,545404547;0,275910535;0,178684918;0;0;0
1237;13;CRUZEIRO/MG;VASCO DA GAMA/RJ;Domingo;0;0;0;0,514009341;0,268753455;0,217237204;0,514009341;0,268753455;0,217237204;0;0;0
1237;14;BRAGANTINO/SP;SAO PAULO/SP;Domingo;0;0;0;0,403040304;0,305530553;0,291429143;0,403040304;0,305530553;0,291429143;0;0;0
