Concurso;Ganhadores_14_Acertos;Rateio_14_Acertos;Ganhadores_13_Acertos;Rateio_13_Acertos;Estimativa_Premio_Proximo_Concurso
1225;710;2416.66;9794;24.35;1000000
1224;9;75264.76;259;800.62;2000000
1223;4;418135.58;107;1964.23;1000000
1222;0;0;1;148230.28;2000000
1221;161;5130.32;3087;81.9;1000000
1220;18;192711.82;591;618.88;1000000
1219;0;0;0;0;4000000
1218;7;276923.65;218;1550.28;1000000
1217;0;0;2;89405.95;2000000
1216;40;24895.83;1128;270.25;1000000
1215;846;4300.66;17503;27.26;1000000
1214;0;0;12;14189.45;3500000
1213;1;889753.72;80;2383.27;1000000
1212;1;917174.26;32;6141.79;1000000
1211;5;155330.21;203;1171.18;500000
1210;868;14448.47;13936;57.49;400000
1209;0;0;19;22264.39;12500000
1208;0;0;22;15222.08;8000000
1207;0;0;1;301177.34;7000000
1206;0;0;16;15048.39;5000000
1205;0;0;1;170254.63;3500000
1204;0;0;1;136249.69;2500000
1203;0;0;7;12644.63;1000000
1202;7;276310.69;112;1872.07;350000
1201;0;0;0;0;1850000
1200;0;0;6;11154.15;1000000
1199;4;249377.74;117;892.13;800000
1198;0;0;60;1655.49;1000000
1197;0;0;0;0;600000
1196;4;78393.58;179;536.26;250000
1195;19;42919.94;316;314.94;200000
1194;2;414520.38;37;2770.88;700000
1193;0;0;39;1926.38;750000
1192;13;139089.64;400;408.28;250000
1191;0;0;4;28143.34;1700000
1190;0;0;36;2384.06;1250000
1189;17;36473.15;285;443.39;650000
1188;0;0;57;1113.01;600000
1187;8;84655.65;284;472.92;200000
1186;0;0;0;0;600000
1185;20;36.424,00;534;213.57;300000
1184;10;27949.04;188;455.09;650000
1183;2;299422.92;71;1782.54;250000
1182;0;0;0;0;450000
1181;3;646614.4;114;1380.04;150000
1180;0;0;2;32296.31;1700000
1179;0;0;1;87735.53;1500000
1178;0;0;2;27773.97;500000
1177;4;537074.97;200;1022.43;150000
1176;0;0;0;0;2000000
1175;0;0;4;27601.02;1700000
1174;1;2314435.94;65;2265.16;1000000
1173;0;0;4;33632.55;2200000
1172;0;0;49;2644.28;1500000
1171;0;0;10;8461.51;800000
1170;102;11648.74;2903;66.34;350000
1169;2;514480.63;61;1911.89;900000
1168;0;0;0;0;800000
1167;19;23309.48;491;276.12;200000
1166;1;2393117.12;92;1662.82;250000
1165;0;0;1;108979.71;2200000
1164;0;0;0;0;1500000
1163;0;0;0;0;550000
1162;14;46324.84;441;319.48;200000
1161;0;0;2;20174.81;400000
1160;20;76543.02;433;352.17;200000
1159;0;0;1;60731.69;1400000
1158;0;0;0;0;800000
1157;0;0;4;9777.62;400000
1156;1;196048.02;76;789.66;200000
1155;2;230674.15;25;1964.93;200000
1154;159;2421.75;3035;19.45;500000
1153;0;0;1;41189.34;400000
1152;1;228902.69;81;865.08;250000
1151;1;643422.67;41;1929.91;250000
1150;0;0;11;4104.97;650000
1149;6;115836.47;145;482.58;400000
1148;0;0;7;5678.06;650000
1147;0;0;0;0;500000
1146;0;0;17;1941.1;400000
1145;1;477058.61;47;914.54;200000
1144;0;0;0;0;500000
1143;2;183774.36;113;326.98;200000
1142;0;0;41;1217.06;400000
1141;0;0;4;4491.52;300000
1140;1;852978.92;42;1678.66;200000
1139;0;0;7;4089.29;800000
1138;0;0;3;14146.3;500000
1137;0;0;8;2676.13;300000
1136;35;6280.08;911;73.86;200000
1135;21;83433.91;417;176.6;250000
1134;0;0;11;5849.59;1750000
1133;0;0;0;0;1300000
1132;0;0;0;0;1000000
