Concurso;Jogo;Mandante;Visitante;Mando;1;X;2;Odds_1;Odds_X;Odds_2;last-5-h2h-mandante;last-5-h2h-visitante
1228;1;CORINTHIANS/SP;PONTE PRETA/SP;Mandante;0;0;0;1.75;3.25;5.25;;
1228;2;JUVENTUDE/RS;YPIRANGA/RS;Mandante;0;0;0;1.65;3.3;6;;
1228;3;SANTOS/SP;NOVORIZONTINO/SP;Mandante;0;0;0;1.7;3.5;4.75;;
1228;4;CRUZEIRO/MG;POUSO ALEGRE/MG;Mandante;0;0;0;1.48;4.33;6;;
1228;5;PORT DESPORT/SP;PALMEIRAS/SP;Mandante;0;0;0;5.5;3.4;1.66;;
1228;6;AVENIDA/RS;GREMIO/RS;Mandante;0;0;0;5.5;3.7;1.61;;
1228;7;SAO LUIZ/RS;CAXIAS/RS;Mandante;0;0;0;2.87;3;2.6;;
1228;8;BAHIA/BA;JEQUIE BA/BA;Mandante;0;0;0;1.49;3.7;9.5;;
1228;9;INTERNACIONAL/RS;NOVO HAMBURGO/RS;Mandante;0;0;0;1.75;3.75;4.2;;
1228;10;ATLETICO/MG;BETIM/MG;Mandante;0;0;0;1.5;3.5;6.5;;
1228;11;FERROVIARIO/CE;FORTALEZA/CE;Mandante;0;0;0;2.85;2.95;2.3;;
1228;12;NOROESTE/SP;BRAGANTINO/SP;Mandante;0;0;0;4.1;3.4;1.85;;
1228;13;FLAMENGO/RJ;PORTUGUESA/RJ;Mandante;0;0;0;1.62;3.4;5.9;;
1228;14;MIRASSOL/SP;SAO PAULO/SP;Mandante;0;0;0;2.37;3.4;2.8;;
