Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3;pred_top1;pred_top2;pred_top3;hit_rank;p_top1;p_top2;p_top3
818;1;VASCO DA GAMA/RJ;FLAMENGO/RJ;Sábado;0;1;0;0,178861789;0,284552846;0,536585366;0,536585366;0,284552846;0,178861789;0;1;0;2;X;1;2;0.536585;0.284553;0.178862
818;2;SANTOS/SP;SAO PAULO/SP;Domingo;0;1;0;0,392156863;0,31372549;0,294117647;0,392156863;0,31372549;0,294117647;0;1;0;1;X;2;2;0.392157;0.313725;0.294118
818;3;CRUZEIRO/MG;ATLETICO/MG;Domingo;0;1;0;0,334298119;0,283646889;0,382054993;0,382054993;0,334298119;0,283646889;0;0;1;2;1;X;3;0.382055;0.334298;0.283647
818;4;CRICIUMA/SC;AVAI/SC;Sábado;1;0;0;0,324459235;0,313643927;0,361896839;0,361896839;0,324459235;0,313643927;0;1;0;2;1;X;2;0.361897;0.324459;0.313644
818;5;GOIAS/GO;ATLETICO/GO;Sábado;1;0;0;0,465393795;0,286396181;0,248210024;0,465393795;0,286396181;0,248210024;1;0;0;1;X;2;1;0.465394;0.286396;0.248210
818;6;BOA ESPORTE/MG;PAYSANDU/PA;Sábado;0;1;0;0,416047548;0,334323923;0,249628529;0,416047548;0,334323923;0,249628529;0;1;0;1;X;2;2;0.416048;0.334324;0.249629
818;7;BRASIL/RS;CRB/AL;Sábado;1;0;0;0,405904059;0,311193112;0,282902829;0,405904059;0,311193112;0,282902829;1;0;0;1;X;2;1;0.405904;0.311193;0.282903
818;8;OESTE/SP;PONTE PRETA/SP;Sábado;0;1;0;0,336065574;0,327868852;0,336065574;0,336065574;0,336065574;0,327868852;0;0;1;1;2;X;3;0.336066;0.336066;0.327869
818;9;CEARA/CE;VITORIA/BA;Sábado;1;0;0;0,494214121;0,288925179;0,2168607;0,494214121;0,288925179;0,2168607;1;0;0;1;X;2;1;0.494214;0.288925;0.216861
818;10;BOTAFOGO/RJ;AMERICA/MG;Domingo;1;0;0;0,551808706;0,260576334;0,18761496;0,551808706;0,260576334;0,18761496;1;0;0;1;X;2;1;0.551809;0.260576;0.187615
818;11;BAHIA/BA;PALMEIRAS/SP;Domingo;0;1;0;0,312532545;0,312428402;0,375039054;0,375039054;0,312532545;0,312428402;0;0;1;2;1;X;3;0.375039;0.312533;0.312428
